Zone Timestep,Environment:Site Outdoor Air Drybulb Temperature[C]
2009-Jan-04 01:00:00,4.2
2009-Jan-04 01:10:00,4.183333333333334
2009-Jan-04 01:20:00,4.166666666666667
2009-Jan-04 01:30:00,4.15
2009-Jan-04 01:40:00,4.133333333333333
2009-Jan-04 01:50:00,4.116666666666666
2009-Jan-04 02:00:00,4.1
2009-Jan-04 02:10:00,4.083333333333333
2009-Jan-04 02:20:00,4.066666666666666
2009-Jan-04 02:30:00,4.05
2009-Jan-04 02:40:00,4.033333333333333
2009-Jan-04 02:50:00,4.016666666666667
2009-Jan-04 03:00:00,4.0
2009-Jan-04 03:10:00,3.8833333333333333
2009-Jan-04 03:20:00,3.7666666666666666
2009-Jan-04 03:30:00,3.65
2009-Jan-04 03:40:00,3.533333333333333
2009-Jan-04 03:50:00,3.4166666666666665
2009-Jan-04 04:00:00,3.3
2009-Jan-04 04:10:00,3.2333333333333334
2009-Jan-04 04:20:00,3.166666666666667
2009-Jan-04 04:30:00,3.0999999999999996
2009-Jan-04 04:40:00,3.033333333333333
2009-Jan-04 04:50:00,2.9666666666666663
2009-Jan-04 05:00:00,2.9
2009-Jan-04 05:10:00,2.8833333333333333
2009-Jan-04 05:20:00,2.8666666666666667
2009-Jan-04 05:30:00,2.8499999999999996
2009-Jan-04 05:40:00,2.833333333333333
2009-Jan-04 05:50:00,2.816666666666667
2009-Jan-04 06:00:00,2.8
2009-Jan-04 06:10:00,2.8000000000000003
2009-Jan-04 06:20:00,2.8
2009-Jan-04 06:30:00,2.8
2009-Jan-04 06:40:00,2.8
2009-Jan-04 06:50:00,2.8
2009-Jan-04 07:00:00,2.8
2009-Jan-04 07:10:00,2.8333333333333335
2009-Jan-04 07:20:00,2.8666666666666667
2009-Jan-04 07:30:00,2.9
2009-Jan-04 07:40:00,2.9333333333333336
2009-Jan-04 07:50:00,2.9666666666666663
2009-Jan-04 08:00:00,3.0
2009-Jan-04 08:10:00,2.9
2009-Jan-04 08:20:00,2.8
2009-Jan-04 08:30:00,2.7
2009-Jan-04 08:40:00,2.5999999999999996
