Zone Timestep,THERMAL ZONE 1:Zone Ventilation Mass Flow Rate[kg/s]
2009-Jan-04 19:00:00,0.2898576959860065
2009-Jan-04 19:10:00,0.28785108513387775
2009-Jan-04 19:20:00,0.28598834755648006
2009-Jan-04 19:30:00,0.28433094334185793
2009-Jan-04 19:40:00,0.28278407903376435
2009-Jan-04 19:50:00,0.2812498204852421
2009-Jan-04 20:00:00,0.27969315286157503
2009-Jan-04 20:10:00,0.2819785547332753
2009-Jan-04 20:20:00,0.2826246046029046
2009-Jan-04 20:30:00,0.28315925778251283
2009-Jan-04 20:40:00,0.28454029178192336
2009-Jan-04 20:50:00,0.2864885102373953
2009-Jan-04 21:00:00,0.2884924710065607
2009-Jan-04 21:10:00,0.29108338262130384
2009-Jan-04 21:20:00,0.2936050379287707
2009-Jan-04 21:30:00,0.29614494904561683
2009-Jan-04 21:40:00,0.2987218461145935
2009-Jan-04 21:50:00,0.30131631423122307
2009-Jan-04 22:00:00,0.30391246272754063
2009-Jan-04 22:10:00,0.304606322156657
2009-Jan-04 22:20:00,0.3022832227607427
2009-Jan-04 22:30:00,0.3028436017700633
2009-Jan-04 22:40:00,0.3040626895504667
2009-Jan-04 22:50:00,0.3059323904073453
2009-Jan-04 23:00:00,0.30768972970570496
2009-Jan-04 23:10:00,0.30933160518817304
2009-Jan-04 23:20:00,0.3108310140203344
2009-Jan-04 23:30:00,0.3124984724215702
